day	hour	value
1	1	1152
1	2	523
1	3	445
1	4	77
1	8	90
1	9	128
1	10	292
1	11	396
1	12	823
1	13	849
1	14	708
1	15	616
1	16	700
1	17	751
1	18	1042
1	19	708
1	20	857
1	21	833
1	22	1088
1	23	1629
1	24	1626
2	1	1277
2	2	760
2	3	327
2	4	78
2	7	115
2	8	154
2	9	108
2	10	181
2	11	297
2	12	601
2	13	627
2	14	489
2	15	495
2	16	728
2	17	617
2	18	585
2	19	734
2	20	1157
2	21	1263
2	22	1377
2	23	1638
2	24	1389
3	1	1318
3	2	605
3	3	134
3	7	14
3	8	2
3	9	130
3	10	261
3	11	447
3	12	699
3	13	566
3	14	691
3	15	903
3	16	796
3	17	754
3	18	726
3	19	740
3	20	748
3	21	906
3	22	1924
3	23	1535
3	24	1403
4	1	1037
4	2	467
4	3	247
4	4	44
4	8	33
4	9	126
4	10	208
4	11	432
4	12	815
4	13	1063
4	14	864
4	15	748
4	16	542
4	17	446
4	18	411
4	19	804
4	20	790
4	21	1290
4	22	1426
4	23	1670
4	24	1554
5	1	1353
5	2	559
5	3	243
5	4	2
5	8	4
5	9	84
5	10	190
5	11	272
5	12	419
5	13	797
5	14	951
5	15	759
5	16	543
5	17	451
5	18	725
5	19	820
5	20	673
5	21	612
5	22	600
5	23	943
5	24	1286
6	1	1151
6	2	940
6	3	377
6	4	141
6	5	35
6	9	50
6	10	187
6	11	447
6	12	984
6	13	1169
6	14	1578
6	15	1302
6	16	1268
6	17	1146
6	18	964
6	19	962
6	20	1194
6	21	920
6	22	1040
6	23	1553
6	24	1593
7	1	1712
7	2	1141
7	3	565
7	4	240
7	5	47
7	6	18
7	8	9
7	9	30
7	10	279
7	11	384
7	12	744
7	13	1185
7	14	1267
7	15	1261
7	16	1178
7	17	1347
7	18	1374
7	19	1213
7	20	1311
7	21	1501
7	22	1539
7	23	1950
7	24	2008
